X,y
"Hi,  I've noticed that if you only save a model (with all your mapping planes positioned carefully) to a .3DS file that when you reload it after restarting 3DS, they are given a default position and orientation.  But if you save to a .PRJ file their positions/orientation are preserved.  Does anyone know why this information is not stored in the .3DS file?  Nothing is explicitly said in the manual about saving texture rules in the .PRJ file.  I'd like to be able to read the texture rule information, does anyone have  the format for the .PRJ file?  Is the .CEL file format available from somewhere?  Rych",1
"Seems to be, barring evidence to the contrary, that Koresh was simply another deranged fanatic who thought it neccessary to take a whole bunch of folks with him, children and all, to satisfy his delusional mania. Jim Jones, circa 1993.   Nope - fruitcakes like Koresh have been demonstrating such evil corruption for centuries.",3
">In article <1993Apr19.020359.26996@sq.sq.com>, msb@sq.sq.com (Mark Brader)   MB>                                                             So the MB> 1970 figure seems unlikely to actually be anything but a perijove.  JG>Sorry, _perijoves_...I'm not used to talking this language.  Couldn't we just say periapsis or apoapsis?",2
"I have a request for those who would like to see Charley Wingate respond to the ""Charley Challenges"" (and judging from my e-mail, there appear to be quite a few of you.)    It is clear that Mr. Wingate intends to continue to post tangential or unrelated articles while ingoring the Challenges themselves.  Between the last two re-postings of the Challenges, I noted perhaps a dozen or more posts by Mr. Wingate, none of which answered a single Challenge.    It seems unmistakable to me that Mr. Wingate hopes that the questions will just go away, and he is doing his level best to change the subject.  Given that this seems a rather common net.theist tactic, I would like to suggest that we impress upon him our desire for answers, in the following manner:  1. Ignore any future articles by Mr. Wingate that do not address the Challenges, until he answers them or explictly announces that he refuses to do so.  --or--  2. If you must respond to one of his articles, include within it something similar to the following:      ""Please answer the questions posed to you in the Charley Challenges.""  Really, I'm not looking to humiliate anyone here, I just want some honest answers.  You wouldn't think that honesty would be too much to ask from a devout Christian, would you?    Nevermind, that was a rhetorical question.",0
"AW&ST  had a brief blurb on a Manned Lunar Exploration confernce May 7th  at Crystal City Virginia, under the auspices of AIAA.  Does anyone know more about this?  How much, to attend????  Anyone want to go?",2
"There are definitely quite a few horrible deaths as the result of both atheists AND theists.  I'm sure Bobby can list quite a few for the atheist side but fails to recognize that the theists are equally proficient at genocide.  Perhaps, since I'm a bit weak on history, somone here would like to give a list of wars caused/led by theists?  I can think of a few (Hitler claimed to be a Christian for example) but a more complete list would probably be more effective in showing Bobby just how absurd his statement is.   On a side note, I notice you always sign your posts ""Peace"".  Perhaps you should take your own advice and leave the atheists in peace with their beliefs?   Nanci",0
"Mark Prado       Old pioneer song from the 1850's or so goes as follows:      ""In a cavern, in a canyon,    Excavating for a mine,    Dwelt a miner, forty-niner,    And his daughter, CLEMENTINE""    Chorus:   ""Oh my darling, Oh my darling,    Oh my darling Clementine.    You are lost and gone forever,    Oh my darling Clementine.""     I've also had it explained (but not confirmed from a reliable data source) that CLEMENTINE is an acronym.  Something like Combined Lunar Elemental Mapper Experiment on Extended Non Terrestrial Intercept Near Earth.  Personally, I think that acronym was made up to fit the name (if it really is an acronym).  ------------------------------------------------------------------  Wales Larrison                           Space Technology Investor",2
"Acorn Replay running on a 25MHz ARM 3 processor (the ARM 3 is about 20% slower than the ARM 6) does this in software (off a standard CD-ROM). 16 bit colour at about the same resolution (so what if the computer only has 8 bit colour support, real-time dithering too...). The 3D0/O is supposed to have a couple of DSPs - the ARM being used for housekeeping.   A 25MHz ARM 6xx should clock around 20 ARM MIPS, say 18 flat out. Depends really on the surrounding system and whether you are talking ARM6x or ARM6xx (the latter has a cache, and so is essential to run at this kind of speed with slower memory).  I'll stop saying things there 'cos I'll hopefully be working for ARM after graduation...  Mike  PS Don't pay heed to what reps from Philips say; if the 3D0/O doesn't beat the    pants off 3DI then I'll eat this postscript.",1
"Their Hiten engineering-test mission spent a while in a highly eccentric Earth orbit doing lunar flybys, and then was inserted into lunar orbit using some very tricky gravity-assist-like maneuvering.  This meant that it would crash on the Moon eventually, since there is no such thing as a stable lunar orbit (as far as anyone knows), and I believe I recall hearing recently that it was about to happen.",2
"I'm interested in find out what is involved in processing pairs of  stereo photographs.  I have black-and-white photos and would like  to obtain surface contours.  I'd prefer to do the processing on an SGI, but would be interested in hearing what software/hardware is used for this type of image processing.  Please email and/or post to comp.sys.sgi.graphics your responses.  Thanks,",1
